strategy,strategy_label,review_type,date,score,msci_trend,nasdaq_trend,msci_momentum,msci_volatility,bce_fed_rate,desired_base_regime,pending_regime,pending_count,base_regime,crash_fast_armed,airbag_s3_armed,final_regime,world_weight,nasdaq_weight,cash_weight,world_diff,nasdaq_diff,cash_diff,action_required,action
secondpass_391,391,weekly_thursday,1986-08-14,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-08-14,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-08-15,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-08-15,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-08-15,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-08-21,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-08-21,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-08-21,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-08-22,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-08-22,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-08-22,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-08-28,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-08-28,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-08-28,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-08-29,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-08-29,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-08-29,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-09-04,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-09-04,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-09-04,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-09-05,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-09-05,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-09-05,100.0,positiu,positiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-09-11,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-09-11,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-09-11,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-09-12,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-09-12,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-09-12,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-09-18,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-09-18,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-09-18,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-09-19,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-09-19,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-09-19,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-09-25,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-09-25,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-09-25,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-09-26,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-09-26,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-09-26,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-10-02,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-10-02,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-10-02,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-10-03,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-10-03,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-10-03,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-10-09,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-10-09,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-10-09,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-10-10,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-10-10,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-10-10,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-10-16,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-10-16,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-10-16,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-10-17,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-10-17,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-10-17,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-10-23,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-10-23,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-10-23,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-10-24,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-10-24,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-10-24,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-10-30,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-10-30,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-10-30,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-10-31,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-10-31,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-10-31,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-11-06,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-11-06,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-11-06,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
