strategy,strategy_label,review_type,date,score,msci_trend,nasdaq_trend,msci_momentum,msci_volatility,bce_fed_rate,desired_base_regime,pending_regime,pending_count,base_regime,crash_fast_armed,airbag_s3_armed,final_regime,world_weight,nasdaq_weight,cash_weight,world_diff,nasdaq_diff,cash_diff,action_required,action
secondpass_1207,1207,weekly_friday,1986-11-07,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-11-07,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-11-07,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-11-13,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_thursday,1986-11-13,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_thursday,1986-11-13,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_friday,1986-11-14,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391,391,weekly_friday,1986-11-14,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_391_airbag_s3,391 + Airbag S3,weekly_friday,1986-11-14,71.96,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
secondpass_1207,1207,weekly_thursday,1986-11-20,73.46,positiu,negatiu,positiu,positiu,positiu,risc-on,,0,risc-on,False,False,risc-on,40.0,55.0,5.0,0.0,0.0,0.0,False,No cal rebalancejar
